School Name,Organization,Type,Fees,Principal Name,Location
The City School Quetta Cantt Campus-I,Private,Co Education,2000,,"https://www.google.com/maps/place/The+City+School,+Quetta+Cantt+Campus-I/@30.2082979,67.0405017,15z/data=!4m5!3m4!1s0x0:0x35942030febce42e!8m2!3d30.2082979!4d67.0405017"
The City School Cantt Campus II,Private,Co Education,3500,,"https://www.google.com/maps/place/The+City+School+Cantt+Campus+II/@30.2054346,67.0178485,15z/data=!4m5!3m4!1s0x0:0xd8ad0d757fb6743d!8m2!3d30.2054346!4d67.0178485"
WILDERNESS SCHOOL & COLLEGE,Private,Co Education,8000,Muhammad Nadeem,"https://www.google.com/maps/place/Wilderness+School%E2%99%A5/@30.257135,66.966244,16z/data=!4m5!3m4!1s0x0:0xe8d5c88a34f98373!8m2!3d30.257135!4d66.9662439?hl=en-US"
Beaconhouse,Private,Co Education,9000,Riffat Naseer,"https://www.google.com/maps/place/PAK-TURK+MAARIF+INTERNATIONAL+SCHOOLS+%26+COLLEGES+QUETTA+BOYS/@30.2066217,66.9559469,13.6z/data=!4m5!3m4!1s0x0:0xae71e56e5a304dde!8m2!3d30.198695!4d66.963946"
St.joseph's Convent Girls High School,Private,For Girls,7500,Naseem Niamat,"https://www.google.com/maps/place/St.joseph's+Convent+Girls+High+School./@30.2051257,67.000515,15z/data=!4m5!3m4!1s0x0:0x905045e0e2e368d4!8m2!3d30.2013426!4d67.0084114https://www.google.com/maps/place/St.joseph's+Convent+Girls+High+School./@30.2051257,67.000515,15z/data=!4m5!3m4!1s0x0:0x905045e0e2e368d4!8m2!3d30.2013426!4d67.0084114"
Pak Turk School Boys Campus - Quetta,Private,For Boys,4500,,"https://www.google.com/maps/place/PAK-TURK+MAARIF+INTERNATIONAL+SCHOOLS+%26+COLLEGES+QUETTA+BOYS/@30.198695,66.963946,15z/data=!4m5!3m4!1s0x0:0xae71e56e5a304dde!8m2!3d30.198695!4d66.963946"
Pak Turk School Girls Campus - Quetta,Private,For Girls,3200,,"https://www.google.com/maps/place/Pak+Turk+Maar%C4%B1f+International+Schools+%26+Colleges+Girls+Campus/@30.1863072,67.0073811,15z/data=!4m5!3m4!1s0x0:0xbbdfc8d9fbb49ff3!8m2!3d30.1863072!4d67.0073811"
St. Francis Grammar School,Private,Boys,6000,Sylvia Nathaniel,"https://www.google.com/maps/place/St.+Francis+Grammer+School/@30.2011708,67.0110876,15z/data=!4m5!3m4!1s0x0:0xfacf3668bb8e4e5e!8m2!3d30.2011708!4d67.0110876"
"Garrison Public School Quetta, Pakistan",Private,Co Education,4500,,"https://www.google.com/maps/place/Army+Public+School+Garrison+Academy/@30.2009581,67.0268278,15z/data=!4m2!3m1!1s0x0:0xd362b1fec85c279e?sa=X&ved=2ahUKEwjru7C876TpAhUKKBoKHQdNAVEQ_BIwCnoECBEQBg"
Helpers Public High School,Private,Co Education,4800,Prof Asif Akhtar,"https://www.google.com/maps/place/Helpers+Public+High+School/@30.1634305,67.001325,17z/data=!3m1!4b1!4m5!3m4!1s0x3ed2de00a0e38045:0x9cebd854d94d6537!8m2!3d30.1634259!4d67.0035137"
"Government Hazara Society High School, MariAbad Quetta",Government,For Boys,6500,,"https://www.google.com/maps/place/Government+Hazara+Society+High+School,+MariAbad+Quetta/@30.1863044,67.0315191,15z/data=!4m2!3m1!1s0x0:0x794feda924bf4749?sa=X&ved=2ahUKEwi-nMGY5qbpAhUwz4UKHYbTBZIQ_BIwE3oECBEQCA"
Tameer-I-Nau girls high school ,Private,For Girls,9200,Prof. Abid,"https://www.google.com/maps/place/Tameer-I-Nau+girls+high+school+Quetta/@30.2182592,66.973075,17z/data=!4m5!3m4!1s0x3ed2e06a019fd2df:0x2a2ddcd8e06dce59!8m2!3d30.2182546!4d66.9752637"
"Government Primary School F.G. COLONY KAICHI BAIG, QUETTA",Government,Boys,3000,Ikramullah,"https://www.google.com/maps/search/Government+Primary+School+quetta/@30.1866113,66.9553626,12z/data=!3m1!4b1"
Government Special High School,Government,Boys,4000,Prof.Khalid,"https://www.google.com/maps/place/Government+Special+High+School/@30.189988,67.0061289,15z/data=!4m5!3m4!1s0x0:0x58c9fc11e649dc0f!8m2!3d30.187243!4d67.0133816"
Lady sandeman girls high school,Government,For Girls,5000,,"https://www.google.com/maps/place/Lady+sandeman+girls+high+school/@30.1866667,67.0097222,15z/data=!4m5!3m4!1s0x0:0x5f80c31e1f6de947!8m2!3d30.1866667!4d67.0097222"
Islamia Girls High School,Government,For Girls,6000,,"https://www.google.com/maps/place/Islamia+Girls+High+School/@30.1927489,67.0163633,15z/data=!4m5!3m4!1s0x0:0x8782f394a0fc89d2!8m2!3d30.1927489!4d67.0163633"
Cambridge public high school,Private,,8000,,"https://www.google.com/maps/place/cambridge+public+high+school/@30.2424917,67.0063649,14.54z/data=!4m5!3m4!1s0x0:0x5e79e7cc1732a02c!8m2!3d30.2395244!4d67.0140907"
Cambridge Secondary School,Private,,5500,,"https://www.google.com/maps/place/Cambridge+Secondary+School/@30.1954416,67.0232454,15z/data=!4m5!3m4!1s0x0:0xb7ec4607672c6bbb!8m2!3d30.1954416!4d67.0232454"
Grammar Cambridge School Quetta,Private,,3000,,"https://www.google.com/maps/place/Grammar+Cambridge+School+Quetta/@30.2176667,66.9925364,15z/data=!4m5!3m4!1s0x0:0xfb45f2ebd98c61dd!8m2!3d30.2176667!4d66.9925364"
Leaders' Odyssey School System,Private,Co Education,5000,Heena Iqbal,"https://www.google.com/maps/place/Leaders'+Odyssey+School+System/@30.1960264,67.0073931,13.66z/data=!4m5!3m4!1s0x0:0x852f9ec858f56413!8m2!3d30.1982076!4d67.0224756"
Sandeman High School,Government,For Boys,1000,,"https://www.google.com/maps/place/Sandeman+High+School/@30.194794,67.0121115,15z/data=!4m5!3m4!1s0x0:0x194804a9fba66d48!8m2!3d30.194794!4d67.0121115"
The Educators Jinnah Town Campus,Private,Co Education,5000,,"https://www.google.com/maps/place/The+Educators+Jinnah+Town+Campus+(JTC)/@30.2182302,66.9932838,15z/data=!4m5!3m4!1s0x0:0xf3929e44cd5b22aa!8m2!3d30.2182302!4d66.9932838"
The Educators - Alamdar Campus,Private,Co Education,5000,,"https://www.google.com/maps/place/The+Educators+-+Alamdar+Campus/@30.1890227,67.0266793,15z/data=!4m5!3m4!1s0x0:0xfade87a9b05b31a!8m2!3d30.1890227!4d67.0266793"
"F.g. Public School (boys) Tufail Road , Quetta",Private,For Boys,3000,,"https://www.google.com/maps/place/FG+Public+School+Boys+Madrassa+Road+Quetta+Cantt/@30.202874,67.0341439,15z/data=!4m5!3m4!1s0x0:0x824bcf39d4ca6fae!8m2!3d30.202874!4d67.0341439"
"Green House Grammar High School, QUETTA",Private,Co Education,2000,,"https://www.google.com/maps/place/Green+House+Grammar+High+School/@30.1810359,67.0093576,15z/data=!4m5!3m4!1s0x0:0x5b2c490a256df19!8m2!3d30.1810359!4d67.0093576"
Police Grammar High School,Private,Co Education,3000,,"https://www.google.com/maps/place/Police+Grammar+School+Quetta+cantt/@30.2004278,67.0257224,15z/data=!4m5!3m4!1s0x0:0xcb81a6c0177d5c6d!8m2!3d30.2004278!4d67.0257224"
Government Girls High School,Government,For Girls,5000,,"https://www.google.com/maps/place/Government+Girls+High+School/@30.191086,66.9884551,17z/data=!3m1!4b1!4m5!3m4!1s0x3ed2e09b087da66d:0x274d80be1511dcf9!8m2!3d30.1910814!4d66.9906438"
"Govt Boys High School, Quetta",Government,For Boys,4000,,"https://www.google.com/maps/place/Govt+Boys+High+School/@30.1430176,67.0071313,17z/data=!3m1!4b1!4m5!3m4!1s0x3ed2dd3c21707209:0x40d85872939861ba!8m2!3d30.143013!4d67.00932"
Government boys high school Kaichi Baig,Government,For Boys,2000,,"https://www.google.com/maps/place/Government+boys+high+school+Kaichi+Baig/@30.1284106,66.9709893,15z/data=!4m5!3m4!1s0x0:0x4b31801bee490827!8m2!3d30.1284106!4d66.9709893"
ibn-e-sina public high school quetta ,Private,,4000,,"https://www.google.com/maps/place/Ibn-e-sina+Public+High+School/@30.2395532,67.0113638,15.75z/data=!4m5!3m4!1s0x0:0x1e346285a7b265f9!8m2!3d30.2394078!4d67.014648"
Al-Mustafa Public High School,,Co Education,6000,,"https://www.google.com/maps/place/AL-Mustafa+Public+High+School,+Quetta,+Balochistan/@30.1944969,67.0230674,16.85z/data=!4m5!3m4!1s0x3ed2de472ace07df:0xb33a4249e35d61cc!8m2!3d30.1946556!4d67.0254687"
A-one City Model High School,Private,,4000,,"https://www.google.com/maps/place/A-one+City+Model+High+School/@30.1887333,66.9700401,15z/data=!4m2!3m1!1s0x0:0x384910113457cf7c?sa=X&ved=2ahUKEwjKzPj66t3pAhXFzIUKHT8UCPQQ_BIwG3oECBAQCA"
